track_id,frame,x,y
0,0,23,121
0,1,23,121
0,2,22,120
0,3,22,120
0,4,24,121
0,5,25,120
0,6,25,120
0,7,26,120
0,8,26,120
0,9,26,121
0,10,26,120
0,11,27,120
0,12,27,120
0,13,27,120
0,14,28,121
0,15,28,121
0,16,29,121
0,17,29,121
0,18,29,121
0,19,29,122
0,20,29,122
0,21,31,123
0,22,32,125
0,23,32,125
0,24,33,126
0,25,33,127
0,26,35,128
0,27,41,136
0,28,20,136
1,0,22,120
1,1,22,120
1,2,24,121
1,3,25,120
1,4,25,120
1,5,26,120
1,6,26,120
1,7,26,121
1,8,27,120
1,9,27,120
1,10,27,120
1,11,28,121
1,12,28,121
1,13,29,121
1,14,29,121
1,15,29,121
1,16,32,125
1,17,32,125
1,18,33,126
1,19,33,127
1,20,35,128
1,21,41,136
1,22,20,136
2,0,72,160
2,1,82,159
2,2,86,152
2,3,86,148
2,4,91,148
2,5,88,146
2,6,70,153
2,7,70,153
2,8,47,144
2,9,47,144
2,10,48,147
2,11,48,147
2,12,38,168
2,13,38,168
2,14,39,168
2,15,60,162
2,16,66,162
2,17,70,164
2,18,70,164
2,19,72,164
2,20,73,158
2,21,73,159
2,22,73,159
2,23,77,157
2,24,55,152
2,25,79,151
2,26,79,151
2,27,58,150
2,28,61,149
2,29,61,149
2,30,60,148
2,31,61,147
2,32,61,145
2,33,61,145
3,0,72,160
3,1,82,159
3,2,86,152
3,3,86,148
3,4,91,148
3,5,88,146
3,6,70,153
3,7,70,153
3,8,47,144
3,9,47,144
3,10,48,147
3,11,48,147
3,12,38,168
3,13,38,168
3,14,39,168
3,15,55,152
3,16,79,151
3,17,79,151
3,18,58,150
3,19,61,149
3,20,61,149
3,21,60,148
3,22,61,147
3,23,61,145
3,24,61,145
4,0,22,30
4,1,23,30
4,2,23,30
4,3,24,30
4,4,24,30
4,5,35,37
4,6,32,43
4,7,38,45
4,8,30,68
4,9,30,68
4,10,25,69
4,11,31,70
4,12,31,70
4,13,31,70
4,14,27,70
4,15,27,70
4,16,27,70
4,17,34,72
4,18,34,72
4,19,28,71
4,20,29,71
4,21,29,72
4,22,29,72
4,23,31,72
4,24,31,72
4,25,31,72
4,26,32,73
4,27,32,73
4,28,32,74
4,29,33,74
4,30,33,74
4,31,33,74
4,32,33,74
4,33,33,74
4,34,35,74
4,35,35,74
4,36,35,75
4,37,36,76
4,38,36,76
4,39,36,77
4,40,38,77
4,41,38,77
4,42,38,77
4,43,38,78
4,44,38,78
4,45,38,78
4,46,39,78
4,47,38,79
4,48,38,79
4,49,39,79
4,50,42,83
4,51,41,80
4,52,41,80
4,53,41,81
4,54,41,80
4,55,41,80
4,56,41,80
4,57,43,81
4,58,43,81
4,59,44,81
4,60,44,81
4,61,44,82
4,62,45,82
4,63,45,82
4,64,45,83
4,65,46,84
4,66,46,83
4,67,46,83
4,68,46,84
4,69,46,84
4,70,46,84
4,71,47,84
4,72,47,84
4,73,47,86
4,74,48,85
4,75,48,85
4,76,48,85
4,77,54,88
4,78,49,87
4,79,49,87
4,80,50,87
4,81,50,88
4,82,51,88
4,83,51,88
4,84,51,88
4,85,53,88
4,86,56,89
4,87,53,89
4,88,53,89
4,89,55,90
4,90,55,90
4,91,55,90
4,92,55,90
4,93,55,90
4,94,55,90
4,95,56,91
